sigma_0.1_tau,sigma_0.1_strain,sigma_0.1_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
1.04200000e+01,7.26345091e+08,3.50128827e+09,1.04200000e+01,2.63897283e+16,1.27209571e+17
1.04300000e+01,7.63131220e+08,3.67861285e+09,1.04300000e+01,2.77262499e+16,1.33652167e+17
1.04400000e+01,8.01780401e+08,3.86491814e+09,1.04400000e+01,2.91304604e+16,1.40421051e+17
1.04500000e+01,8.42386991e+08,4.06065895e+09,1.04500000e+01,3.06057879e+16,1.47532749e+17
1.04600000e+01,8.85050122e+08,4.26631316e+09,1.04600000e+01,3.21558342e+16,1.55004623e+17
1.04700000e+01,9.29873950e+08,4.48238283e+09,1.04700000e+01,3.37843833e+16,1.62854913e+17
1.04800000e+01,9.76967905e+08,4.70939547e+09,1.04800000e+01,3.54954112e+16,1.71102786e+17
1.04900000e+01,1.02644696e+09,4.94790528e+09,1.04900000e+01,3.72930949e+16,1.79768377e+17
1.05000000e+01,1.07843190e+09,5.19849454e+09,1.05000000e+01,3.91818233e+16,1.88872841e+17
1.05100000e+01,1.13304965e+09,5.46177503e+09,1.05100000e+01,4.11662074e+16,1.98438405e+17
1.05200000e+01,1.19043355e+09,5.73838950e+09,1.05200000e+01,4.32510916e+16,2.08488423e+17
1.05300000e+01,1.25072368e+09,6.02901326e+09,1.05300000e+01,4.54415659e+16,2.19047428e+17
1.05400000e+01,1.31406724e+09,6.33435580e+09,1.05400000e+01,4.77429779e+16,2.30141201e+17
1.05500000e+01,1.38061887e+09,6.65516258e+09,1.05500000e+01,5.01609461e+16,2.41796823e+17
1.05600000e+01,1.45054103e+09,6.99221679e+09,1.05600000e+01,5.27013736e+16,2.54042750e+17
1.05700000e+01,1.52400445e+09,7.34634129e+09,1.05700000e+01,5.53704624e+16,2.66908879e+17
1.05800000e+01,1.60118845e+09,7.71840061e+09,1.05800000e+01,5.81747286e+16,2.80426619e+17
1.05900000e+01,1.68228148e+09,8.10930307e+09,1.05900000e+01,6.11210183e+16,2.94628973e+17
1.06000000e+01,1.76748151e+09,8.52000299e+09,1.06000000e+01,6.42165245e+16,3.09550612e+17
1.06100000e+01,1.85699654e+09,8.95150302e+09,1.06100000e+01,6.74688041e+16,3.25227966e+17
1.06200000e+01,1.95104511e+09,9.40485660e+09,1.06200000e+01,7.08857972e+16,3.41699307e+17
1.06300000e+01,2.04985681e+09,9.88117051e+09,1.06300000e+01,7.44758457e+16,3.59004848e+17
1.06400000e+01,2.15367289e+09,1.03816076e+10,1.06400000e+01,7.82477141e+16,3.77186838e+17
1.06500000e+01,2.26274679e+09,1.09073896e+10,1.06500000e+01,8.22106107e+16,3.96289663e+17
1.06600000e+01,2.37734479e+09,1.14598000e+10,1.06600000e+01,8.63742103e+16,4.16359962e+17
1.06700000e+01,2.49774666e+09,1.20401876e+10,1.06700000e+01,9.07486776e+16,4.37446731e+17
1.06800000e+01,2.62424635e+09,1.26499693e+10,1.06800000e+01,9.53446921e+16,4.59601451e+17
1.06900000e+01,2.75715269e+09,1.32906336e+10,1.06900000e+01,1.00173474e+17,4.82878208e+17
1.07000000e+01,2.89679014e+09,1.39637448e+10,1.07000000e+01,1.05246812e+17,5.07333829e+17
1.07100000e+01,3.04349960e+09,1.46709460e+10,1.07100000e+01,1.10577093e+17,5.33028018e+17
1.07200000e+01,3.19763924e+09,1.54139637e+10,1.07200000e+01,1.16177328e+17,5.60023502e+17
1.07300000e+01,3.35958536e+09,1.61946120e+10,1.07300000e+01,1.22061190e+17,5.88386187e+17
1.07400000e+01,3.52973332e+09,1.70147967e+10,1.07400000e+01,1.28243043e+17,6.18185315e+17
1.07500000e+01,3.70849852e+09,1.78765200e+10,1.07500000e+01,1.34737979e+17,6.49493635e+17
1.07600000e+01,3.89631738e+09,1.87818858e+10,1.07600000e+01,1.41561855e+17,6.82387582e+17
1.07700000e+01,4.09364842e+09,1.97331042e+10,1.07700000e+01,1.48731329e+17,7.16947460e+17
1.07800000e+01,4.30097340e+09,2.07324977e+10,1.07800000e+01,1.56263906e+17,7.53257641e+17
1.07900000e+01,4.51879846e+09,2.17825059e+10,1.07900000e+01,1.64177974e+17,7.91406770e+17
1.08000000e+01,4.74765538e+09,2.28856924e+10,1.08000000e+01,1.72492853e+17,8.31487983e+17
1.08100000e+01,4.98810289e+09,2.40447503e+10,1.08100000e+01,1.81228845e+17,8.73599129e+17
1.08200000e+01,5.24072798e+09,2.52625094e+10,1.08200000e+01,1.90407275e+17,9.17843016e+17
1.08300000e+01,5.50614740e+09,2.65419424e+10,1.08300000e+01,2.00050551e+17,9.64327658e+17
1.08400000e+01,5.78500914e+09,2.78861731e+10,1.08400000e+01,2.10182217e+17,1.01316654e+18
1.08500000e+01,6.07799396e+09,2.92984830e+10,1.08500000e+01,2.20827006e+17,1.06447889e+18
1.08600000e+01,6.38581717e+09,3.07823201e+10,1.08600000e+01,2.32010906e+17,1.11838999e+18
1.08700000e+01,6.70923023e+09,3.23413068e+10,1.08700000e+01,2.43761220e+17,1.17503143e+18
1.08800000e+01,7.04902273e+09,3.39792493e+10,1.08800000e+01,2.56106635e+17,1.23454152e+18
1.08900000e+01,7.40602419e+09,3.57001463e+10,1.08900000e+01,2.69077290e+17,1.29706552e+18
1.09000000e+01,7.78110618e+09,3.75081990e+10,1.09000000e+01,2.82704851e+17,1.36275609e+18
1.09100000e+01,8.17518439e+09,3.94078214e+10,1.09100000e+01,2.97022587e+17,1.43177359e+18
1.09200000e+01,8.58922091e+09,4.14036513e+10,1.09200000e+01,3.12065452e+17,1.50428652e+18
1.09300000e+01,9.02422652e+09,4.35005610e+10,1.09300000e+01,3.27870171e+17,1.58047190e+18
1.09400000e+01,9.48126322e+09,4.57036698e+10,1.09400000e+01,3.44475329e+17,1.66051573e+18
1.09500000e+01,9.96144678e+09,4.80183562e+10,1.09500000e+01,3.61921463e+17,1.74461342e+18
1.09600000e+01,1.04659495e+10,5.04502711e+10,1.09600000e+01,3.80251166e+17,1.83297028e+18
1.09700000e+01,1.09960030e+10,5.30053516e+10,1.09700000e+01,3.99509186e+17,1.92580203e+18
1.09800000e+01,1.15529014e+10,5.56898355e+10,1.09800000e+01,4.19742539e+17,2.02333529e+18
1.09900000e+01,1.21380041e+10,5.85102765e+10,1.09900000e+01,4.41000620e+17,2.12580816e+18
1.10000000e+01,1.27527397e+10,6.14735602e+10,1.10000000e+01,4.63335329e+17,2.23347084e+18
1.10100000e+01,1.33986089e+10,6.45869210e+10,1.10100000e+01,4.86801190e+17,2.34658614e+18
1.10200000e+01,1.40771885e+10,6.78579596e+10,1.10200000e+01,5.11455493e+17,2.46543023e+18
1.10300000e+01,1.47901351e+10,7.12946617e+10,1.10300000e+01,5.37358425e+17,2.59029324e+18
1.10400000e+01,1.55391893e+10,7.49054173e+10,1.10400000e+01,5.64573225e+17,2.72148001e+18
1.10500000e+01,1.63261797e+10,7.86990416e+10,1.10500000e+01,5.93166333e+17,2.85931079e+18
1.10600000e+01,1.71530277e+10,8.26847959e+10,1.10600000e+01,6.23207554e+17,3.00412209e+18
1.10700000e+01,1.80217518e+10,8.68724109e+10,1.10700000e+01,6.54770228e+17,3.15626744e+18
1.10800000e+01,1.89344729e+10,9.12721099e+10,1.10800000e+01,6.87931411e+17,3.31611826e+18
1.10900000e+01,1.98934192e+10,9.58946339e+10,1.10900000e+01,7.22772059e+17,3.48406481e+18
1.11000000e+01,2.09009319e+10,1.00751268e+11,1.11000000e+01,7.59377230e+17,3.66051711e+18
1.11100000e+01,2.19594706e+10,1.05853869e+11,1.11100000e+01,7.97836289e+17,3.84590592e+18
1.11200000e+01,2.30716196e+10,1.11214894e+11,1.11200000e+01,8.38243128e+17,4.04068385e+18
1.11300000e+01,2.42400939e+10,1.16847431e+11,1.11300000e+01,8.80696392e+17,4.24532641e+18
1.11400000e+01,2.54677462e+10,1.22765230e+11,1.11400000e+01,9.25299724e+17,4.46033320e+18
1.11500000e+01,2.67575736e+10,1.28982740e+11,1.11500000e+01,9.72162015e+17,4.68622912e+18
1.11600000e+01,2.81127249e+10,1.35515139e+11,1.11600000e+01,1.02139767e+18,4.92356566e+18
1.11700000e+01,2.95365087e+10,1.42378374e+11,1.11700000e+01,1.07312689e+18,5.17292223e+18
1.11800000e+01,3.10324007e+10,1.49589202e+11,1.11800000e+01,1.12747597e+18,5.43490760e+18
1.11900000e+01,3.26040530e+10,1.57165226e+11,1.11900000e+01,1.18457758e+18,5.71016135e+18
1.12000000e+01,3.42553024e+10,1.65124941e+11,1.12000000e+01,1.24457114e+18,5.99935548e+18
1.12100000e+01,3.59901802e+10,1.73487781e+11,1.12100000e+01,1.30760310e+18,6.30319599e+18
1.12200000e+01,3.78129218e+10,1.82274160e+11,1.12200000e+01,1.37382734e+18,6.62242467e+18
1.12300000e+01,3.97279771e+10,1.91505531e+11,1.12300000e+01,1.44340555e+18,6.95782085e+18
1.12400000e+01,4.17400214e+10,2.01204429e+11,1.12400000e+01,1.51650759e+18,7.31020334e+18
1.12500000e+01,4.38539667e+10,2.11394534e+11,1.12500000e+01,1.59331191e+18,7.68043244e+18
1.12600000e+01,4.60749739e+10,2.22100721e+11,1.12600000e+01,1.67400603e+18,8.06941198e+18
1.12700000e+01,4.84084652e+10,2.33349129e+11,1.12700000e+01,1.75878695e+18,8.47809159e+18
1.12800000e+01,5.08601374e+10,2.45167218e+11,1.12800000e+01,1.84786164e+18,8.90746900e+18
1.12900000e+01,5.34359758e+10,2.57583841e+11,1.12900000e+01,1.94144756e+18,9.35859245e+18
1.13000000e+01,5.61422689e+10,2.70629310e+11,1.13000000e+01,2.03977319e+18,9.83256329e+18
1.13100000e+01,5.89856237e+10,2.84335474e+11,1.13100000e+01,2.14307858e+18,1.03305386e+19
1.13200000e+01,6.19729816e+10,2.98735793e+11,1.13200000e+01,2.25161592e+18,1.08537342e+19
1.13300000e+01,6.51116358e+10,3.13865425e+11,1.13300000e+01,2.36565020e+18,1.14034273e+19
1.13400000e+01,6.84092489e+10,3.29761304e+11,1.13400000e+01,2.48545979e+18,1.19809598e+19
1.13500000e+01,7.18738713e+10,3.46462239e+11,1.13500000e+01,2.61133721e+18,1.25877419e+19
1.13600000e+01,7.55139613e+10,3.64009001e+11,1.13600000e+01,2.74358976e+18,1.32252547e+19
1.13700000e+01,7.93384056e+10,3.82444429e+11,1.13700000e+01,2.88254030e+18,1.38950546e+19
1.13800000e+01,8.33565408e+10,4.01813528e+11,1.13800000e+01,3.02852807e+18,1.45987770e+19
1.13900000e+01,8.75781767e+10,4.22163585e+11,1.13900000e+01,3.18190947e+18,1.53381397e+19
1.14000000e+01,9.20136195e+10,4.43544282e+11,1.14000000e+01,3.34305895e+18,1.61149479e+19
1.14100000e+01,9.66736977e+10,4.66007816e+11,1.14100000e+01,3.51236993e+18,1.69310979e+19
1.14200000e+01,1.01569788e+11,4.89609027e+11,1.14200000e+01,3.69025575e+18,1.77885822e+19
1.14300000e+01,1.06713843e+11,5.14405533e+11,1.14300000e+01,3.87715070e+18,1.86894944e+19
1.14400000e+01,1.12118422e+11,5.40457872e+11,1.14400000e+01,4.07351103e+18,1.96360336e+19
1.14500000e+01,1.17796718e+11,5.67829645e+11,1.14500000e+01,4.27981614e+18,2.06305109e+19
1.14600000e+01,1.23762595e+11,5.96587676e+11,1.14600000e+01,4.49656968e+18,2.16753540e+19
1.14700000e+01,1.30030617e+11,6.26802173e+11,1.14700000e+01,4.72430082e+18,2.27731137e+19
1.14800000e+01,1.36616086e+11,6.58546899e+11,1.14800000e+01,4.96356552e+18,2.39264700e+19
