sigma_0.001148105625717566_tau,sigma_0.001148105625717566_strain,sigma_0.001148105625717566_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
4.72000000e+00,1.10687241e+00,2.32811171e-02,4.72000000e+00,6.82047127e+161,4.60708943e+163
4.72500000e+00,1.10698880e+00,2.32785284e-02,4.72500000e+00,1.02987790e+162,6.95661546e+163
4.73000000e+00,1.10710518e+00,2.32759582e-02,4.73000000e+00,1.55509560e+162,1.05043541e+164
4.73500000e+00,1.10722155e+00,2.32734068e-02,4.73500000e+00,2.34816413e+162,1.58613704e+164
4.74000000e+00,1.10733790e+00,2.32708744e-02,4.74000000e+00,3.54568217e+162,2.39503609e+164
4.74500000e+00,1.10745425e+00,2.32683612e-02,4.74500000e+00,5.35391114e+162,3.61645793e+164
4.75000000e+00,1.10757058e+00,2.32658674e-02,4.75000000e+00,8.08430172e+162,5.46078116e+164
4.75500000e+00,1.10768689e+00,2.32633933e-02,4.75500000e+00,1.22071384e+163,8.24567338e+164
4.76000000e+00,1.10780320e+00,2.32609391e-02,4.76000000e+00,1.84325417e+163,1.24508065e+165
4.76500000e+00,1.10791949e+00,2.32585049e-02,4.76500000e+00,2.78327795e+163,1.88004757e+165
4.77000000e+00,1.10803577e+00,2.32560911e-02,4.77000000e+00,4.20269559e+163,2.83883528e+165
4.77500000e+00,1.10815204e+00,2.32536978e-02,4.77500000e+00,6.34598862e+163,4.28658607e+165
4.78000000e+00,1.10826830e+00,2.32513252e-02,4.78000000e+00,9.58231943e+163,6.47266162e+165
4.78500000e+00,1.10838454e+00,2.32489736e-02,4.78500000e+00,1.44691160e+164,9.77359319e+165
4.79000000e+00,1.10850077e+00,2.32466431e-02,4.79000000e+00,2.18480839e+164,1.47579357e+166
4.79500000e+00,1.10861700e+00,2.32443339e-02,4.79500000e+00,3.29901818e+164,2.22841959e+166
4.80000000e+00,1.10873321e+00,2.32420463e-02,4.80000000e+00,4.98145331e+164,3.36487026e+166
4.80500000e+00,1.10884940e+00,2.32397803e-02,4.80500000e+00,7.52189764e+164,5.08088866e+166
4.81000000e+00,1.10896559e+00,2.32375364e-02,4.81000000e+00,1.13579192e+165,7.67204309e+166
4.81500000e+00,1.10908177e+00,2.32353145e-02,4.81500000e+00,1.71502371e+165,1.15846359e+167
4.82000000e+00,1.10919793e+00,2.32331149e-02,4.82000000e+00,2.58965246e+165,1.74925750e+167
4.82500000e+00,1.10931409e+00,2.32309378e-02,4.82500000e+00,3.91032487e+165,2.64134481e+167
4.83000000e+00,1.10943023e+00,2.32287833e-02,4.83000000e+00,5.90451452e+165,3.98837930e+167
4.83500000e+00,1.10954637e+00,2.32266517e-02,4.83500000e+00,8.91570211e+165,6.02237520e+167
4.84000000e+00,1.10966249e+00,2.32245431e-02,4.84000000e+00,1.34625368e+166,9.09366945e+167
4.84500000e+00,1.10977860e+00,2.32224577e-02,4.84500000e+00,2.03281689e+166,1.37312641e+168
4.85000000e+00,1.10989470e+00,2.32203956e-02,4.85000000e+00,3.06951397e+166,2.07339417e+168
4.85500000e+00,1.11001079e+00,2.32183571e-02,4.85500000e+00,4.63490642e+166,3.13078489e+168
4.86000000e+00,1.11012688e+00,2.32163422e-02,4.86000000e+00,6.99861857e+166,4.72742431e+168
4.86500000e+00,1.11024295e+00,2.32143512e-02,4.86500000e+00,1.05677780e+167,7.13831879e+168
4.87000000e+00,1.11035901e+00,2.32123841e-02,4.87000000e+00,1.59571393e+167,1.07787226e+169
4.87500000e+00,1.11047506e+00,2.32104412e-02,4.87500000e+00,2.40949700e+167,1.62756615e+169
4.88000000e+00,1.11059110e+00,2.32085226e-02,4.88000000e+00,3.63829362e+167,2.45759324e+169
4.88500000e+00,1.11070714e+00,2.32066285e-02,4.88500000e+00,5.49375263e+167,3.71091801e+169
4.89000000e+00,1.11082316e+00,2.32047589e-02,4.89000000e+00,8.29545965e+167,5.60341404e+169
4.89500000e+00,1.11093918e+00,2.32029141e-02,4.89500000e+00,1.25259828e+168,8.46104625e+169
4.90000000e+00,1.11105518e+00,2.32010941e-02,4.90000000e+00,1.89139904e+168,1.27760153e+170
4.90500000e+00,1.11117118e+00,2.31992992e-02,4.90500000e+00,2.85597578e+168,1.92915347e+170
4.91000000e+00,1.11128717e+00,2.31975294e-02,4.91000000e+00,4.31246790e+168,2.91298424e+170
4.91500000e+00,1.11140314e+00,2.31957849e-02,4.91500000e+00,6.51174268e+168,4.39854956e+170
4.92000000e+00,1.11151912e+00,2.31940658e-02,4.92000000e+00,9.83260483e+168,6.64172431e+170
4.92500000e+00,1.11163508e+00,2.31923722e-02,4.92500000e+00,1.48470421e+169,1.00288746e+171
4.93000000e+00,1.11175103e+00,2.31907043e-02,4.93000000e+00,2.24187449e+169,1.51434056e+171
4.93500000e+00,1.11186698e+00,2.31890622e-02,4.93500000e+00,3.38518689e+169,2.28662480e+171
4.94000000e+00,1.11198291e+00,2.31874459e-02,4.94000000e+00,5.11156639e+169,3.45275899e+171
