# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
9.674237632034053957e-01 1.101576544859162343e+00 2.165648802469996581e-01
9.747527311064615452e-01 1.102384182694603032e+00 2.172646221667274558e-01
9.820816990095175836e-01 1.103192412662180599e+00 2.179547774052977838e-01
9.894106669125737330e-01 1.104001235196025554e+00 2.186354286692216986e-01
9.967396348156298824e-01 1.104810650730587263e+00 2.193066581283883709e-01
1.004068602718686032e+00 1.105620659700633057e+00 2.199685474180047562e-01
1.011397570621741959e+00 1.106431262541249572e+00 2.206211776405482272e-01
1.018726538524798109e+00 1.107242459687841851e+00 2.212646293677309750e-01
1.026055506427854258e+00 1.108054251576134908e+00 2.218989826424762613e-01
1.033384474330910408e+00 1.108866638642172386e+00 2.225243169809061894e-01
1.040713442233966335e+00 1.109679621322318344e+00 2.231407113743404391e-01
1.048042410137022484e+00 1.110493200053256357e+00 2.237482442913055758e-01
1.055371378040078634e+00 1.111307375271990194e+00 2.243469936795546293e-01
1.062700345943134783e+00 1.112122147415844031e+00 2.249370369680974147e-01
1.070029313846190933e+00 1.112937516922462899e+00 2.255184510692395117e-01
1.077358281749246860e+00 1.113753484229812463e+00 2.260913123806312930e-01
1.084687249652303009e+00 1.114570049776179461e+00 2.266556967873251116e-01
1.092016217555359159e+00 1.115387214000172378e+00 2.272116796638428970e-01
1.099345185458415308e+00 1.116204977340720328e+00 2.277593358762494691e-01
1.106674153361471458e+00 1.117023340237075502e+00 2.282987397842371202e-01
1.114003121264527385e+00 1.117842303128810943e+00 2.288299652432144726e-01
1.121332089167583534e+00 1.118661866455822995e+00 2.293530856064061596e-01
1.128661057070639684e+00 1.119482030658329741e+00 2.298681737269568370e-01
1.135990024973695833e+00 1.120302796176872562e+00 2.303753019600440211e-01
1.143318992876751761e+00 1.121124163452315248e+00 2.308745421649960328e-01
1.150647960779807910e+00 1.121946132925845330e+00 2.313659657074172982e-01
1.157976928682864060e+00 1.122768705038973636e+00 2.318496434613193657e-01
1.165305896585920209e+00 1.123591880233534734e+00 2.323256458112570866e-01
1.172634864488976358e+00 1.124415658951687158e+00 2.327940426544706787e-01
1.179963832392032286e+00 1.125240041635913180e+00 2.332549034030328983e-01
1.187292800295088435e+00 1.126065028729020145e+00 2.337082969860013737e-01
1.194621768198144585e+00 1.126890620674139587e+00 2.341542918515750471e-01
1.201950736101200734e+00 1.127716817914728331e+00 2.345929559692553068e-01
1.209279704004256883e+00 1.128543620894567834e+00 2.350243568320109500e-01
1.216608671907312811e+00 1.129371030057765291e+00 2.354485614584478081e-01
1.223937639810368960e+00 1.130199045848753192e+00 2.358656363949809542e-01
1.231266607713425110e+00 1.131027668712290435e+00 2.362756477180111281e-01
1.238595575616481259e+00 1.131856899093461433e+00 2.366786610361035215e-01
1.245924543519537186e+00 1.132686737437676783e+00 2.370747414921701712e-01
1.253253511422593336e+00 1.133517184190674598e+00 2.374639537656555444e-01
1.260582479325649485e+00 1.134348239798518732e+00 2.378463620747219842e-01
1.267911447228705635e+00 1.135179904707600551e+00 2.382220301784409577e-01
1.275240415131761784e+00 1.136012179364638719e+00 2.385910213789838863e-01
1.282569383034817712e+00 1.136845064216679413e+00 2.389533985238154190e-01
1.289898350937873861e+00 1.137678559711096327e+00 2.393092240078882049e-01
1.297227318840930010e+00 1.138512666295591558e+00 2.396585597758395247e-01
1.304556286743986160e+00 1.139347384418195164e+00 2.400014673241884777e-01
1.311885254647042309e+00 1.140182714527265606e+00 2.403380077035342510e-01
1.319214222550098237e+00 1.141018657071490194e+00 2.406682415207554437e-01
1.326543190453154386e+00 1.141855212499885530e+00 2.409922289412098073e-01
1.333872158356210536e+00 1.142692381261796841e+00 2.413100296909338749e-01
1.341201126259266685e+00 1.143530163806899091e+00 2.416217030588438397e-01
1.348530094162322612e+00 1.144368560585196759e+00 2.419273078989351289e-01
1.355859062065378762e+00 1.145207572047024502e+00 2.422269026324829211e-01
1.363188029968434911e+00 1.146047198643047160e+00 2.425205452502417480e-01
1.370516997871491061e+00 1.146887440824259752e+00 2.428082933146443467e-01
1.377845965774547210e+00 1.147728299041988143e+00 2.430902039620001509e-01
1.385174933677603137e+00 1.148569773747888823e+00 2.433663339046929774e-01
1.392503901580659287e+00 1.149411865393949572e+00 2.436367394333771585e-01
1.399832869483715436e+00 1.150254574432489907e+00 2.439014764191730911e-01
1.407161837386771586e+00 1.151097901316160410e+00 2.441606003158605653e-01
1.414490805289827735e+00 1.151941846497943844e+00 2.444141661620713168e-01
1.421819773192883662e+00 1.152786410431154929e+00 2.446622285834795518e-01
1.429148741095939812e+00 1.153631593569440783e+00 2.449048417949906131e-01
1.436477708998995961e+00 1.154477396366781372e+00 2.451420596029272869e-01
1.443806676902052111e+00 1.155323819277489061e+00 2.453739354072148604e-01
1.451135644805108038e+00 1.156170862756209505e+00 2.456005222035625990e-01
1.458464612708164188e+00 1.157018527257922091e+00 2.458218725856443077e-01
1.465793580611220337e+00 1.157866813237939052e+00 2.460380387472745345e-01
1.473122548514276486e+00 1.158715721151906797e+00 2.462490724845835532e-01
1.480451516417332636e+00 1.159565251455805912e+00 2.464550251981883211e-01
1.487780484320388563e+00 1.160415404605951162e+00 2.466559478953619378e-01
1.495109452223444713e+00 1.161266181058991931e+00 2.468518911921976922e-01
1.502438420126500862e+00 1.162117581271912226e+00 2.470429053157721655e-01
1.509767388029557011e+00 1.162969605702031339e+00 2.472290401063035881e-01
1.517096355932613161e+00 1.163822254807003631e+00 2.474103450193068099e-01
1.524425323835669088e+00 1.164675529044819191e+00 2.475868691277451072e-01
1.531754291738725238e+00 1.165529428873803841e+00 2.477586611241779924e-01
1.539083259641781387e+00 1.166383954752619134e+00 2.479257693229046655e-01
1.546412227544837537e+00 1.167239107140263465e+00 2.480882416621048581e-01
1.553741195447893464e+00 1.168094886496071405e+00 2.482461257059735416e-01
1.561070163350949613e+00 1.168951293279714143e+00 2.483994686468534163e-01
1.568399131254005763e+00 1.169808327951200377e+00 2.485483173073620433e-01
1.575728099157061912e+00 1.170665990970875425e+00 2.486927181425139244e-01
1.583057067060118062e+00 1.171524282799422556e+00 2.488327172418402788e-01
1.590386034963173989e+00 1.172383203897862991e+00 2.489683603315014926e-01
1.597715002866230138e+00 1.173242754727555237e+00 2.490996927763968471e-01
1.605043970769286288e+00 1.174102935750196641e+00 2.492267595822683923e-01
1.612372938672342437e+00 1.174963747427822947e+00 2.493496053978004889e-01
1.619701906575398587e+00 1.175825190222808514e+00 2.494682745167135229e-01
1.627030874478454514e+00 1.176687264597866767e+00 2.495828108798537892e-01
