# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
4.352300559777748656e-01 1.190165082618004577e+00 8.214603164948860448e-01
4.375207404829210556e-01 1.191256099462077334e+00 8.239514550245381486e-01
4.398114249880672455e-01 1.192348116434427396e+00 8.264283442541853208e-01
4.421021094932133799e-01 1.193441134451866281e+00 8.288910461392475781e-01
4.443927939983595699e-01 1.194535154432045720e+00 8.313396223723117373e-01
4.466834785035057598e-01 1.195630177293458773e+00 8.337741343842782760e-01
4.489741630086519497e-01 1.196726203955440271e+00 8.361946433455008654e-01
4.512648475137981396e-01 1.197823235338167702e+00 8.386012101669230168e-01
4.535555320189443296e-01 1.198921272362662549e+00 8.409938955012090656e-01
4.558462165240905195e-01 1.200020315950790062e+00 8.433727597438677170e-01
4.581369010292367094e-01 1.201120367025260816e+00 8.457378630343745929e-01
4.604275855343828439e-01 1.202221426509631375e+00 8.480892652572862289e-01
4.627182700395290338e-01 1.203323495328304737e+00 8.504270260433499651e-01
4.650089545446752237e-01 1.204426574406531003e+00 8.527512047706087284e-01
4.672996390498214136e-01 1.205530664670409147e+00 8.550618605655032622e-01
4.695903235549676036e-01 1.206635767046886354e+00 8.573590523039638089e-01
4.718810080601137935e-01 1.207741882463760241e+00 8.596428386125047894e-01
4.741716925652599834e-01 1.208849011849678190e+00 8.619132778693042729e-01
4.764623770704061734e-01 1.209957156134139344e+00 8.641704282052893316e-01
4.787530615755523633e-01 1.211066316247495056e+00 8.664143475052097365e-01
4.810437460806984977e-01 1.212176493120949106e+00 8.686450934087068809e-01
4.833344305858446877e-01 1.213287687686559035e+00 8.708627233113817034e-01
4.856251150909908776e-01 1.214399900877236815e+00 8.730672943658536189e-01
4.879157995961370675e-01 1.215513133626749731e+00 8.752588634828187830e-01
4.902064841012832574e-01 1.216627386869721050e+00 8.774374873320999191e-01
4.924971686064294474e-01 1.217742661541630467e+00 8.796032223436921482e-01
4.947878531115756373e-01 1.218858958578815654e+00 8.817561247088065990e-01
4.970785376167218272e-01 1.219976278918472268e+00 8.838962503809062454e-01
4.993692221218679617e-01 1.221094623498655274e+00 8.860236550767389696e-01
5.016599066270142071e-01 1.222213993258279841e+00 8.881383942773654061e-01
5.039505911321603415e-01 1.223334389137121114e+00 8.902405232291807913e-01
5.062412756373065870e-01 1.224455812075816219e+00 8.923300969449339259e-01
5.085319601424527214e-01 1.225578263015864477e+00 8.944071702047432515e-01
5.108226446475988558e-01 1.226701742899628522e+00 8.964717975571032671e-01
5.131133291527451012e-01 1.227826252670334073e+00 8.985240333198893925e-01
5.154040136578912357e-01 1.228951793272072601e+00 9.005639315813609436e-01
5.176946981630374811e-01 1.230078365649799998e+00 9.025915462011538937e-01
5.199853826681836155e-01 1.231205970749338796e+00 9.046069308112733021e-01
5.222760671733298610e-01 1.232334609517378832e+00 9.066101388170808573e-01
5.245667516784759954e-01 1.233464282901477471e+00 9.086012233982758701e-01
5.268574361836222408e-01 1.234594991850060719e+00 9.105802375098734913e-01
5.291481206887683753e-01 1.235726737312423884e+00 9.125472338831779329e-01
5.314388051939145097e-01 1.236859520238732690e+00 9.145022650267531361e-01
5.337294896990607551e-01 1.237993341580024165e+00 9.164453832273855571e-01
5.360201742042068895e-01 1.239128202288206193e+00 9.183766405510448427e-01
5.383108587093531350e-01 1.240264103316060185e+00 9.202960888438416198e-01
5.406015432144992694e-01 1.241401045617240850e+00 9.222037797329774023e-01
5.428922277196455148e-01 1.242539030146276424e+00 9.240997646276922772e-01
5.451829122247916493e-01 1.243678057858570885e+00 9.259840947202093719e-01
5.474735967299377837e-01 1.244818129710403731e+00 9.278568209866723260e-01
5.497642812350840291e-01 1.245959246658931319e+00 9.297179941880817644e-01
5.520549657402301635e-01 1.247101409662186855e+00 9.315676648712233332e-01
5.543456502453764090e-01 1.248244619679082401e+00 9.334058833695969559e-01
5.566363347505225434e-01 1.249388877669408426e+00 9.352326998043369866e-01
5.589270192556687888e-01 1.250534184593836029e+00 9.370481640851312521e-01
5.612177037608149233e-01 1.251680541413916270e+00 9.388523259111348773e-01
5.635083882659611687e-01 1.252827949092081949e+00 9.406452347718800011e-01
5.657990727711073031e-01 1.253976408591647829e+00 9.424269399481810527e-01
5.680897572762534375e-01 1.255125920876812184e+00 9.441974905130372520e-01
