# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
3.206958307204657577e-02 1.066240773053987567e+00 1.956006363884105759e-01
3.252771997307581098e-02 1.067218189263073436e+00 1.981454510034307559e-01
3.298585687410504619e-02 1.068196501463449355e+00 2.006836914142247075e-01
3.344399377513428834e-02 1.069175710476464980e+00 2.032153756061192695e-01
3.390213067616352355e-02 1.070155817124222697e+00 2.057405215172725121e-01
3.436026757719275876e-02 1.071136822229578733e+00 2.082591470388379107e-01
3.481840447822199397e-02 1.072118726616143602e+00 2.107712700151233576e-01
3.527654137925122918e-02 1.073101531108282547e+00 2.132769082437531993e-01
3.573467828028047133e-02 1.074085236531116649e+00 2.157760794758273315e-01
3.619281518130970654e-02 1.075069843710523720e+00 2.182688014160824030e-01
3.665095208233894175e-02 1.076055353473137854e+00 2.207550917230476917e-01
3.710908898336817696e-02 1.077041766646351872e+00 2.232349680092067801e-01
3.756722588439741911e-02 1.078029084058316434e+00 2.257084478411532646e-01
3.802536278542665432e-02 1.079017306537941145e+00 2.281755487397469639e-01
3.848349968645588953e-02 1.080006434914896563e+00 2.306362881802750120e-01
3.894163658748512474e-02 1.080996470019612410e+00 2.330906835926009613e-01
3.939977348851435995e-02 1.081987412683280692e+00 2.355387523613268475e-01
3.985791038954360210e-02 1.082979263737854803e+00 2.379805118259437635e-01
4.031604729057283731e-02 1.083972024016051083e+00 2.404159792809881790e-01
4.077418419160207252e-02 1.084965694351349041e+00 2.428451719761948457e-01
4.123232109263130774e-02 1.085960275577992240e+00 2.452681071166507021e-01
4.169045799366054988e-02 1.086955768530989186e+00 2.476848018629472792e-01
4.214859489468978510e-02 1.087952174046113774e+00 2.500952733313324128e-01
4.260673179571902031e-02 1.088949492959905729e+00 2.524995385938615944e-01
4.306486869674825552e-02 1.089947726109671944e+00 2.548976146785501551e-01
4.352300559777749767e-02 1.090946874333486916e+00 2.572895185695230347e-01
4.398114249880673288e-02 1.091946938470192974e+00 2.596752672071638290e-01
4.443927939983596809e-02 1.092947919359402054e+00 2.620548774882666687e-01
4.489741630086520330e-02 1.093949817841495031e+00 2.644283662661814915e-01
4.535555320189443851e-02 1.094952634757623944e+00 2.667957503509664208e-01
4.581369010292368066e-02 1.095956370949711101e+00 2.691570465095315945e-01
4.627182700395291587e-02 1.096961027260451305e+00 2.715122714657898784e-01
4.672996390498215108e-02 1.097966604533311408e+00 2.738614419008008061e-01
4.718810080601138629e-02 1.098973103612531643e+00 2.762045744529191271e-01
4.764623770704062844e-02 1.099980525343126070e+00 2.785416857179386363e-01
4.810437460806986365e-02 1.100988870570883238e+00 2.808727922492378348e-01
4.856251150909909886e-02 1.101998140142367300e+00 2.831979105579255918e-01
4.902064841012833407e-02 1.103008334904918453e+00 2.855170571129846402e-01
4.947878531115756928e-02 1.104019455706653607e+00 2.878302483414152402e-01
4.993692221218681143e-02 1.105031503396466608e+00 2.901375006283763436e-01
5.039505911321604664e-02 1.106044478824030453e+00 2.924388303173331982e-01
5.085319601424528185e-02 1.107058382839796185e+00 2.947342537101938498e-01
5.131133291527451706e-02 1.108073216294994667e+00 2.970237870674534708e-01
5.176946981630375921e-02 1.109088980041637473e+00 2.993074466083368024e-01
5.222760671733299442e-02 1.110105674932516884e+00 3.015852485109359882e-01
5.268574361836222963e-02 1.111123301821206777e+00 3.038572089123519615e-01
5.314388051939146485e-02 1.112141861562063738e+00 3.061233439088340003e-01
5.360201742042070699e-02 1.113161355010227727e+00 3.083836695559198926e-01
5.406015432144994221e-02 1.114181783021622074e+00 3.106382018685719393e-01
5.451829122247917742e-02 1.115203146452955041e+00 3.128869568213175634e-01
5.497642812350841263e-02 1.116225446161720258e+00 3.151299503483866449e-01
5.543456502453764784e-02 1.117248683006197396e+00 3.173671983438474675e-01
5.589270192556688999e-02 1.118272857845452828e+00 3.195987166617446640e-01
5.635083882659612520e-02 1.119297971539340297e+00 3.218245211162345520e-01
5.680897572762536041e-02 1.120324024948502251e+00 3.240446274817217476e-01
5.726711262865459562e-02 1.121351018934369614e+00 3.262590514929939456e-01
5.772524952968383777e-02 1.122378954359163128e+00 3.284678088453568123e-01
5.818338643071307298e-02 1.123407832085894009e+00 3.306709151947683778e-01
5.864152333174230819e-02 1.124437652978364399e+00 3.328683861579726511e-01
5.909966023277154340e-02 1.125468417901168472e+00 3.350602373126335687e-01
5.955779713380077861e-02 1.126500127719692879e+00 3.372464841974673888e-01
6.001593403483002076e-02 1.127532783300117414e+00 3.394271423123756959e-01
6.047407093585925597e-02 1.128566385509416570e+00 3.416022271185779058e-01
6.093220783688849118e-02 1.129600935215358426e+00 3.437717540387401627e-01
6.139034473791772639e-02 1.130636433286507758e+00 3.459357384571106198e-01
6.184848163894696854e-02 1.131672880592224706e+00 3.480941957196467818e-01
6.230661853997620375e-02 1.132710278002666549e+00 3.502471411341467333e-01
6.276475544100544590e-02 1.133748626388788372e+00 3.523945899703794238e-01
6.322289234203468111e-02 1.134787926622343734e+00 3.545365574602140080e-01
6.368102924306391632e-02 1.135828179575885111e+00 3.566730587977479106e-01
6.413916614409315153e-02 1.136869386122765002e+00 3.588041091394360560e-01
6.459730304512238674e-02 1.137911547137136159e+00 3.609297236042173229e-01
6.505543994615162195e-02 1.138954663493953134e+00 3.630499172736453839e-01
6.551357684718085717e-02 1.139998736068972285e+00 3.651647051920122733e-01
6.597171374821009238e-02 1.141043765738752880e+00 3.672741023664770621e-01
6.642985064923932759e-02 1.142089753380657768e+00 3.693781237671923123e-01
6.688798755026857668e-02 1.143136699872853601e+00 3.714767843274273118e-01
6.734612445129781189e-02 1.144184606094312828e+00 3.735700989436980812e-01
6.780426135232704710e-02 1.145233472924813034e+00 3.756580824758876669e-01
6.826239825335628231e-02 1.146283301244938269e+00 3.777407497473730391e-01
6.872053515438551752e-02 1.147334091936080380e+00 3.798181155451499924e-01
6.917867205541475273e-02 1.148385845880438572e+00 3.818901946199548258e-01
6.963680895644398794e-02 1.149438563961021398e+00 3.839570016863894653e-01
7.009494585747322315e-02 1.150492247061645879e+00 3.860185514230419779e-01
7.055308275850245836e-02 1.151546896066940162e+00 3.880748584726120276e-01
7.101121965953170745e-02 1.152602511862343082e+00 3.901259374420316117e-01
7.146935656056094266e-02 1.153659095334105045e+00 3.921718029025851870e-01
7.192749346159017787e-02 1.154716647369288474e+00 3.942124693900326271e-01
7.238563036261941308e-02 1.155775168855769808e+00 3.962479514047306806e-01
7.284376726364864829e-02 1.156834660682238614e+00 3.982782634117515430e-01
7.330190416467788350e-02 1.157895123738199805e+00 4.003034198410040934e-01
7.376004106570711871e-02 1.158956558913972978e+00 4.023234350873527432e-01
7.421817796673635392e-02 1.160018967100694631e+00 4.043383235107380624e-01
7.467631486776558913e-02 1.161082349190317498e+00 4.063480994362931309e-01
7.513445176879483822e-02 1.162146706075612546e+00 4.083527771544648299e-01
7.559258866982407343e-02 1.163212038650168312e+00 4.103523709211288617e-01
7.605072557085330864e-02 1.164278347808393566e+00 4.123468949577112075e-01
7.650886247188254385e-02 1.165345634445515977e+00 4.143363634513011484e-01
7.696699937291177906e-02 1.166413899457584558e+00 4.163207905547713916e-01
7.742513627394101428e-02 1.167483143741469442e+00 4.183001903868926452e-01
7.788327317497024949e-02 1.168553368194862774e+00 4.202745770324505248e-01
7.834141007599948470e-02 1.169624573716280036e+00 4.222439645423614052e-01
7.879954697702871991e-02 1.170696761205059833e+00 4.242083669337870511e-01
7.925768387805796900e-02 1.171769931561365663e+00 4.261677981902500800e-01
